timestamp,git_hash,model_type,model_name,num_params,roc_auc,f1,accuracy,val_loss,threshold,num_epochs,batch_size,lr,step_size,gamma,weight_decay,feature_mode,max_events,model_path
2026-08-05 10:29:13,3554c76,cnn_resnet_cross_attention,DualViewResNetCrossAttentionSparseCNN,236210,0.9315,0.9114,0.8593,0.2717,0.453,15,32,0.001,4,0.5,0.0001,sum,12000,saved_models/cnn_resnet_cross_attention_20260805_102913_3554c76.pt
2026-08-05 10:29:35,3554c76,cnn_resnet_cross_attention,DualViewResNetCrossAttentionSparseCNN,236210,0.9282,0.9076,0.8546,0.2767,0.453,15,32,0.001,4,0.5,0.0001,sum,12000,saved_models/cnn_resnet_cross_attention_20260805_102935_3554c76.pt
2026-08-05 10:43:10,452eaa9,cnn_dualview,DualViewSparseCNN,42162,0.9323,0.9122,0.864,0.2743,0.488,12,32,0.001,3,0.3,0.0001,sum,12000,saved_models/cnn_dualview_20260805_104310_452eaa9.pt
2026-08-05 10:51:00,230aa54,cnn_dualview,DualViewSparseCNN,42162,0.9317,0.9134,0.8644,0.2743,0.443,12,32,0.001,3,0.3,0.0001,sum,12000,saved_models/cnn_dualview_20260805_105100_230aa54.pt
2026-08-05 10:54:25,230aa54,cnn_simplified_dualview,SimplifiedDualViewSparseCNN,23154,0.9269,0.9118,0.8623,0.2836,0.488,12,32,0.001,3,0.3,0.0001,sum,12000,saved_models/cnn_simplified_dualview_20260805_105425_230aa54.pt
2026-08-05 11:07:26,230aa54,cnn_dense,DualViewDenseCNN,42162,0.924,0.906,0.8524,0.2906,0.429,12,32,0.001,3,0.3,0.0001,sum,12000,saved_models/cnn_dense_20260805_110726_230aa54.pt
2026-08-05 11:10:48,230aa54,cnn_plane_summary,DualViewPlaneSummarySparseCNN,48434,0.9321,0.9116,0.8614,0.273,0.443,12,32,0.001,3,0.3,0.0001,sum,12000,saved_models/cnn_plane_summary_20260805_111048_230aa54.pt
2026-08-05 11:16:43,230aa54,cnn_cross_attention,DualViewCrossAttentionSparseCNN,50738,0.9356,0.9162,0.8687,0.2624,0.458,12,32,0.001,3,0.3,0.0001,sum,12000,saved_models/cnn_cross_attention_20260805_111643_230aa54.pt
2026-08-05 11:23:36,230aa54,cnn_deep_cross_attention,DualViewDeepCrossAttentionSparseCNN,124850,0.936,0.9145,0.8678,0.2616,0.478,12,32,0.001,3,0.3,0.0001,sum,12000,saved_models/cnn_deep_cross_attention_20260805_112336_230aa54.pt
2026-08-05 11:35:35,230aa54,cnn_resnet_cross_attention,DualViewResNetCrossAttentionSparseCNN,236210,0.9361,0.913,0.8606,0.261,0.419,15,32,0.001,4,0.5,0.0001,sum,12000,saved_models/cnn_resnet_cross_attention_20260805_113535_230aa54.pt
2026-08-05 11:44:53,230aa54,cnn_transformer_cross_attention,DualViewTransformerCrossAttnSparseCNN,91698,0.9343,0.917,0.8725,0.2792,0.404,12,32,0.001,3,0.3,0.0001,sum,12000,saved_models/cnn_transformer_cross_attention_20260805_114453_230aa54.pt
2026-08-05 11:51:11,230aa54,cnn_simplified_cross_attention,SimplifiedDualViewCrossAttentionSparseCNN,31730,0.9325,0.913,0.8674,0.2829,0.453,12,32,0.001,3,0.3,0.0001,sum,12000,saved_models/cnn_simplified_cross_attention_20260805_115111_230aa54.pt
2026-08-05 12:02:25,230aa54,cnn_positional_cross_attention,DualViewPositionalCrossAttentionSparseCNN,74866,0.9313,0.9093,0.8593,0.2734,0.537,15,32,0.001,4,0.5,0.0001,sum,12000,saved_models/cnn_positional_cross_attention_20260805_120225_230aa54.pt
2026-08-05 12:11:26,230aa54,cnn_multistage_cross_attention,DualViewMultiStageCrossAttentionSparseCNN,84274,0.9346,0.9145,0.8636,0.2638,0.434,12,32,0.001,3,0.3,0.0001,sum,12000,saved_models/cnn_multistage_cross_attention_20260805_121126_230aa54.pt
2026-08-05 12:15:24,230aa54,cnn_3d_intersection,DualView3DIntersectionSparseCNN,45298,0.9328,0.9131,0.8661,0.2715,0.493,12,32,0.001,3,0.3,0.0001,sum,12000,saved_models/cnn_3d_intersection_20260805_121524_230aa54.pt
2026-08-05 12:19:14,230aa54,cnn_cross_gate,DualViewCrossGateSparseCNN,43266,0.9316,0.9114,0.8571,0.2742,0.374,12,32,0.001,3,0.3,0.0001,sum,12000,saved_models/cnn_cross_gate_20260805_121914_230aa54.pt
2026-08-05 12:28:15,230aa54,cnn_hybrid_transformer,DualViewHybridTransformerSparseCNN,130930,0.9297,0.9134,0.8653,0.276,0.404,12,32,0.001,3,0.3,0.0001,sum,12000,saved_models/cnn_hybrid_transformer_20260805_122815_230aa54.pt
2026-08-05 12:48:33,230aa54,cnn_multilayer_transformer,DualViewMultiLayerTransformerSparseCNN,134706,0.9343,0.915,0.8666,0.2688,0.448,12,32,0.001,3,0.3,0.0001,sum,12000,saved_models/cnn_multilayer_transformer_20260805_124833_230aa54.pt
2026-08-05 12:52:06,230aa54,cnn_zipper,DualViewZipperSparseCNN,76434,0.9264,0.9057,0.8541,0.2838,0.478,12,32,0.001,3,0.3,0.0001,sum,12000,saved_models/cnn_zipper_20260805_125206_230aa54.pt
2026-08-05 13:07:07,230aa54,cnn_deep_resnet_cross_attention,DualViewDeepResNetCrossAttentionSparseCNN,988626,0.9378,0.9171,0.8704,0.2585,0.409,15,32,0.001,4,0.5,0.0001,sum,12000,saved_models/cnn_deep_resnet_cross_attention_20260805_130707_230aa54.pt
2026-08-06 14:25:46,manual-run,gnn_timing,TimingAwareGNN,53738,0.8983,0.9128,0.8673,0.5049,0.576,20,32,0.001,5,0.5,0.0001,timing,12000,saved_models/gnn_timing_20260806_142546_manual-run.pt
